CardName
Asphyxiate
Sylvan Scrying
Shadow Glider
Mind Raker
Stone Haven Medic
Nettle Drone
Mortuary Mire
Touch of the Void
Catacomb Sifter
Hunger of the Howlpack
Wildfire Cerberus
Belligerent Whiptail
Canopy Spider
Unnatural Aggression
God-Favored General
Mind Raker
Shrike Harpy
Ghostly Sentinel
Kitesail Scout
Felhide Spiritbinder
Satyr Firedancer
Tajuru Stalwart
Tajuru Stalwart
Sylvan Scrying
Swarm Surge
Swarm Surge
Haazda Snare Squad
Corpse Connoisseur
Sure Strike
Radiant Flames
Crumble to Dust
Pharagax Giant
Font of Vigor
Lavastep Raider
Painful Truths
Satyr Wayfinder
Reckless Reveler
Gurmag Angler
Gideon's Reproach
Beckon Apparition
Ondu Rising
Sheer Drop
Outnumber
Altar's Reap
Pensive Minotaur
Weight of the Underworld
Volcanic Upheaval
Volcanic Upheaval
Dust Stalker
Lightning Diadem
Nirkana Assassin
Warchanter of Mogis
Felhide Brawler
Warchanter of Mogis
Pharagax Giant
Warchanter of Mogis
Cathar's Companion
Stitched Mangler
Sure Strike
Shatterskull Recruit
Murk Strider
Brood Monitor
Mind Raker
Ghostly Sentinel
Necrobite
Soulcage Fiend
Necrobite
Killing Glare
Warchanter of Mogis
Two-Headed Cerberus
Shatterskull Recruit
Stonefury
Returned Reveler
Ondu Greathorn
Gideon's Reproach
Smite the Monstrous
Lithomancer's Focus
Lithomancer's Focus
Angelic Gift
Roil's Retribution
Slagwurm Armor
Oppresive Rays
Tandem Tactics
Gruesome Deformity
Liliana's Shade
Nyx Infusion
Humbler of Mortals
Reckless Reveler
Demon's Grasp
Transgress the Mind
Boiling Earth
Dreadbringer Lampads
Flurry of Horns
Warchanter of Mogis
Bone Splinters
Tandem Tactics
Deathgazer
Blinding Flare
Satyr Wayfinder
Goblin War Paint
Felhide Brawler
Chasm Guide
Evolving Wilds
Grip of Desolation
Mind Raker
Processor Assault
Kozilek's Sentinel
Nyxborn Shieldmate
Renegade Demon
Skeleton Shard
Thunderous Might
Pheres-Band Tromper
Asphyxiate
Front of Return
Starfall
Cruel Feeding
Stonewise Fortifier
Armory of Iroas
Solidarity of Heroes
Doomwake Giant
Lagonna-Band Trailblazer
Pharagax Giant
Great Hart
Satyr Grovedancer
Russet Wolves
Deathbellow Raider
Brood Monitor
Kitesail Scout
Serpentine Spike
Pensive Minotaur
Harvestguard Alseids
Pharagax Giant
Warchanter of Mogis
Mischief and Mayhem
Reclaiming Vines
Culling Drone
Kitesail Scout
Slab Hammer
Pillar of War
Firemantle Mage
Stonefury
Gnarled Scarhide
Bassara Tower Archer
Nightmarish End
Stonewise Fortifier
Turn Against
Grip of Desolation
Nettle Drone
Vestige of Emrakul
Gorehorn Minotaurs
Vile Aggregate
Kozilek's Sentinel
Shambling Remains
Hellhole Flailer
Culling Drone
Satyr Nyx-Smith
Charging Badger
Felhide Spiritbinder
Felidar Cub
Hellhole Flailer
Boiling Earth
Satyr Hoplite
Hero of Leina Tower
God-Favored General
Fall of the Hammer
Peregrination
Hedron Blade
Dutiful Return
Rouse the Mob
Satyr Nyx-Smith FOIL
Akroan Skyguard
Cyclops of One-Eyed Pass
Astral Cornucopia
Unravel the Aether
Odunos River Trawler
Dictate of Karametra FOIL
Armament of Nyx
Rix Maadi Guildmage
Hellhole Flailer
Terminate
Volcanic Upheaval
Sightless Brawler
Hellrider
Leonin Iconoclast
Shatterskull Recruit
Evolving Wilds
Ondu Greathorn
Sure Strike
Drana's Emissary FOIL
Fall of the Hammer
Satyr Firedancer
Grotesque Mutation
Scouring Sands
Ephara's Radiance
Encircling Fissure
Reckless Reveler
Setessan Starbreaker
Forsaken Drifters
Excoriate
Reckless Reveler
Snake of the Golden Grove
Charging Badger
Felhide Brawler
Ephara's Radiance
Bolt of Keranos
Nyxborn Shieldmate
Pheres-Band Tromper
