Name, Troll and Toad card price, Total Magic card price
Charging Badger,$0.25,71.78
Hellrider,$0.49,72.27
Greater Basilisk,$0.25,72.52
Harvestguard Alseids,$0.25,72.77
Warchanter of Mogis,$0.25,73.02
Blisterpod,$0.18,73.2
Blisterpod,$0.18,73.38000000000001
Firemantle Mage,$0.25,73.63000000000001
Eyeless Watcher,$0.25,73.88000000000001
Skeleton Shard,$0.25,74.13000000000001
Natural Connection,$0.25,74.38000000000001
Warchanter of Mogis,$0.25,74.63000000000001
Nettle Drone,$0.25,74.88000000000001
Hermit of the Natterknolls,$0.25,75.13000000000001
Akroan Skyguard,$0.25,75.38000000000001
Unnatural Aggression,$0.25,75.63000000000001
Fevered Visions,$0.79,76.42000000000002
Felhide Brawler,$0.25,76.67000000000002
Unnatural Aggression,$0.25,76.92000000000002
Altar's Reap,$0.25,77.17000000000002
hill Giant,$0.69,77.86000000000001
Oran-Reif Invoker,$0.25,78.11000000000001
Scour from Existence,$0.25,78.36000000000001
Front of Return,$1.19,79.55000000000001
Unnatural Aggression,$0.25,79.80000000000001
Corpse Connoisseur,$0.35,80.15
Altar's Reap,$0.25,80.4
